Nation,Year,GDP_Growth,GDP_Per_Capita,GDP,GDP_Normalized,Pop,Pop_Normalized,Area,Pop_Growth,Athletes,Athletes_Normalized,Medals_Last_Games,Total_Medals_year,Medals
China,1992,14.22452959,0.8869094357999999,1.03,255.07445788976554,1.16497,80.42292641230092,9.6,1.225536228,268,0.030653093903694383,28.0,826,55
China,2012,7.863736449,5.325358417,7.19,579.657433922321,1.350695,43.345165502319276,9.6000009,0.487231118,392,0.040126932132255086,100.0,962,89
China,2000,8.490093406,1.767859627,2.23,321.6173241858259,1.262645,60.76264946316289,9.6,0.787956593,292,0.02970498474059003,51.0,925,58
China,1996,9.922556753,1.33235016,1.62,273.47325657554387,1.21755,64.57973684055591,9.6,1.048141514,272,0.028454859294905325,55.0,841,51
China,2008,9.650678919,3.796679944,5.03,452.02010302955136,1.324655,47.783053599206646,9.6,0.5123869320000001,568,0.056472459733545435,64.0,963,100
China,2016,6.848762205,6.908109134,9.52,706.9968746267425,1.378665,38.96390957859916,9.6000105,0.5414785120000001,401,0.038658054564735374,89.0,973,70
China,2004,10.11362138,2.4672496390000003,3.2,366.1371679922123,1.296075,52.41604575850121,9.6000005,0.593932815,388,0.039958805355303814,58.0,927,64
China,1988,11.22259498,0.6939565936000001,0.764,125.56924926988987,1.10163,94.82092665651287,9.6,1.610071086,301,0.03831466395112016,32.0,742,28
Finland,1992,-3.294660066,30.02703042,0.151,37.39441081684912,0.005041992,0.3480705525356103,0.33815,0.561909851,88,0.01006519501315338,4.0,826,5
Finland,2012,-1.397545728,46.53854824,0.252,20.316227169461047,0.005413971,0.17373979249183347,0.33842,0.475809487,54,0.005527689630463711,4.0,962,3
Finland,2000,5.773362457999999,40.403202000000014,0.209,30.142610203963056,0.005176209,0.24909628043913284,0.33815,0.207606515,69,0.007019328585961343,4.0,925,4
Finland,1996,3.66717983,32.963293260000015,0.169,28.529000223004275,0.005124573,0.271811076144896,0.33815,0.328037914,76,0.007950622450047075,5.0,841,4
Finland,2008,0.7839950609999999,49.44085519,0.263,23.634450715064016,0.005313399,0.19166532358309973,0.33842,0.465549285,56,0.005567707297673493,2.0,963,4
Finland,2016,2.811457767,46.79633735,0.257,19.085945039818576,0.005495303,0.15530856966631099,0.33845,0.287421402,54,0.0052058228092162345,3.0,973,1
Finland,2004,3.99209129,44.28285025,0.232,26.544944679435392,0.005228172,0.2114384605715833,0.33815,0.290350362,53,0.005458290422245108,4.0,927,2
Finland,1988,5.217150323,31.78807072,0.157,25.804152009650146,0.004946481,0.425759930383917,0.33815,0.29068905100000003,78,0.009928716904276986,12.0,742,4
Norway,1992,3.574395539,63.629688679999994,0.273,67.60711359602524,0.004286401,0.2959088321558607,0.385178,0.577180268,67,0.007663273475923596,5.0,826,7
Norway,2012,2.703073855,88.60457464999999,0.445,35.875877342897475,0.005018573,0.16105107168566626,0.385178,1.313440989,48,0.004913501893745522,9.0,962,4
Norway,2000,3.204979222,81.65334487999999,0.367,52.92984662609781,0.004490967,0.21612017120539204,0.385178,0.649044821,60,0.006103763987792472,7.0,925,10
Norway,1996,5.027947172,73.57599282,0.322,54.35703001069453,0.004381336,0.2323892455258953,0.385178,0.5068816829999999,81,0.008473689716497541,7.0,841,7
Norway,2008,0.476379999,90.86239970999999,0.433,38.91147208982023,0.004768212,0.17199929760456895,0.385178,1.246333015,71,0.007059057466693179,6.0,963,9
Norway,2016,1.071558977,90.19596368,0.472,35.05278622098976,0.005234519,0.14793827724897585,0.62519424,0.880969815,47,0.004530993926540056,4.0,973,4
Norway,2004,3.96941456,86.75914196000001,0.398,45.53831026903141,0.00459191,0.1857066641042527,0.385178,0.59093094,52,0.005355303810504634,10.0,927,6
Norway,1988,-0.255347258,58.92210988,0.248,40.760698715880494,0.004209488,0.3623245126852674,0.385178,0.537922759,52,0.006619144602851324,3.0,742,5
Netherlands,1992,1.7060708969999998,36.62740782,0.556,137.69067823952392,0.015184166,1.0482287654189908,0.04153,0.7560565929999999,189,0.021617293835068056,9.0,826,15
Netherlands,2012,-1.030353991,50.780703,0.851,68.60757667147361,0.016754962,0.5376836375903298,0.04154,0.370055035,132,0.013512130207800184,18.0,962,20
Netherlands,2000,4.195642498,46.43521455,0.74,106.72503134417542,0.015925513,0.7663883070380381,0.04153,0.714770363,190,0.019328585961342827,19.0,925,25
Netherlands,1996,3.4987421210000003,39.84497813,0.619,104.49379371621092,0.015530498,0.8237489005320356,0.04153,0.461395748,189,0.0197719426718276,15.0,841,19
Netherlands,2008,2.170324851,52.727519310000005,0.867,77.91280901125667,0.016445593,0.5932266528188378,0.04154,0.389292461,199,0.01978524557566116,22.0,963,18
Netherlands,2016,2.191713719,52.72710249,0.898,66.68941107298475,0.017030314,0.4813117144419792,0.04154,0.53217888,209,0.02014846235418876,20.0,973,19
Netherlands,2004,1.984945714,47.57547924,0.775,88.67384537311392,0.016281779,0.6584699751895563,0.04153,0.34747541200000004,158,0.01627188465499485,25.0,927,22
Netherlands,1988,3.4412188610000003,33.243998870000006,0.491,80.69960915119887,0.014760094,1.2704499610733513,0.04153,0.646096228,115,0.014638492871690428,13.0,742,9
France,1992,1.599342677,33.0413621,1.94,480.4315032098497,0.058851217,4.062754486437722,0.549086,0.497240931,317,0.03625757749056388,16.0,826,29
France,2012,0.313134751,41.25827473000001,2.71,218.4800620207914,0.065659809,2.1070895264702045,0.549087,0.48400512,290,0.029685740608045862,41.0,962,35
France,2000,3.923669227,38.30944274,2.33,336.0396257188226,0.0609125,2.9313107686047215,0.549087,0.684929254,318,0.0323499491353001,37.0,925,38
France,1996,1.412993673,34.2756054,2.05,346.06183702460805,0.0597531,3.1693478488829383,0.549086,0.354082271,291,0.030442514907417093,29.0,841,37
France,2008,0.25494596,41.45648342,2.67,239.9391004152887,0.064374984,2.322139206752,0.549087,0.558854359,285,0.02833565321137403,33.0,963,41
France,2016,1.095464404,42.14003688,2.81,208.682901019028,0.066724104,1.8857604675313049,0.549087,0.263868789,354,0.03412706063819532,35.0,973,42
France,2004,2.829752929,39.79463551,2.5,286.04466249391584,0.062704895,2.5359201015388884,0.549087,0.7363135409999999,304,0.03130792996910402,38.0,927,33
France,1988,4.743142194,30.60440403,1.76,289.26947475786153,0.057627105,4.960154949150048,0.549086,0.56459326,262,0.03335030549898167,28.0,742,16
Morocco,1992,-2.097738761,1.747298302,0.045330392242,11.225849735008333,0.025711406,1.774969752607185,0.44655,1.769659621,44,0.00503259750657669,3.0,826,3
Morocco,2012,3.009961262,2.995452357,0.101,8.142614857601451,0.033241898,1.0667660503823708,0.44655,1.393605966,63,0.006448971235540997,2.0,962,1
Morocco,2000,1.912872981,1.9760908320000001,0.05751965079,8.295657477660505,0.028793679,1.3856469742737147,0.44655,1.18141041,55,0.005595116988809766,2.0,925,5
Morocco,1996,12.37287628,1.9131087050000002,0.052892827881,8.928872771670864,0.027383473,1.4524393085462348,0.44655,1.4315775869999998,34,0.0035568574118631656,3.0,841,2
Morocco,2008,5.9232776860000005,2.691267812,0.086135221236,7.740527152598393,0.031536811,1.1375981899898842,0.44655,1.190237718,47,0.004672897196261682,3.0,963,2
Morocco,2016,1.05985639,3.2128153950000002,0.115,8.540403422486909,0.035126296,0.9927413992341207,0.44655,1.32597922,48,0.004627398052636652,1.0,973,1
Morocco,2004,4.797018362,2.315186662,0.070687304633,8.087890478540439,0.030115214,1.2179236811535263,0.44655,1.109662648,55,0.005664263645726054,5.0,927,3
